model,score,error
gssvm,0.986108063879,0.00426618842437
gsbaggingsvm,0.981484455454,0.00292903057522
gsdt,0.978015249067,0.00588512267159
gsbaggingdt,0.977430517182,0.00491051124352
gsrf,0.977424475046,0.00652340630224
gset,0.976278121049,0.00405942752545
onehotpipe,0.970490070594,0.00279323060776
dt,0.965276705054,0.00144147793634
et,0.960650077306,0.0015873550131
rf,0.958913973172,0.00668957563698
gsbaggingknn,0.95890994043,0.00359361326946
svm,0.956027482299,0.00940574127991
knn,0.945606768936,0.00402900059103
gslr,0.835669937513,0.0191810441482
gsbagginglr,0.825792765205,0.0141152581482
lr,0.799773121635,0.013091247254
