SoMa,379
Mission District,367
Richmond District,232
Financial District,214
Tenderloin,186
Outer Sunset,170
Western Addition/NOPA,143
Chinatown,128
Mission Bay,123
Downtown,112
North Beach,100
Fisherman's Wharf,100
Bernal Heights,98
Civic Center,97
Nob Hill,84
Bayview,72
Cow Hollow,68
Mission Terrace,65
Marina District,58
The Castro,57
Inner Sunset,50
Pacific Heights,47
Noe Valley,44
Japantown,42
Presidio Heights,40
Haight-Ashbury,39
Telegraph Hill,38
Potrero Hill,36
Russian Hill,34
Lower Haight,30
Hayes Valley,29
Dogpatch,26
West Portal,25
South Beach,22
Excelsior,21
Portola,21
Cole Valley,18
Duboce Triangle,18
Visitacion Valley,14
Alamo Square,6
Parkside,4
Glen Park,4
Diamond Heights,3
Twin Peaks,2
