,NEIGHBORHOOD,VERTEX TYPE,LATITUDE,LONGITUDE,POINTORDER,POLYGON NUMBER
0,Alamo Square,START,37.775429,-122.434303,1,1
1,Alamo Square,INTERIOR,37.776379,-122.428001,2,1
2,Alamo Square,INTERIOR,37.778111,-122.428215,3,1
3,Alamo Square,INTERIOR,37.778111,-122.427917,4,1
4,Alamo Square,INTERIOR,37.77906,-122.428299,5,1
5,Alamo Square,INTERIOR,37.778549,-122.431602,6,1
6,Alamo Square,INTERIOR,37.78072,-122.432159,7,1
7,Alamo Square,INTERIOR,37.779705,-122.43856,8,1
8,Alamo Square,INTERIOR,37.774887,-122.437607,9,1
9,Alamo Square,INTERIOR,37.775429,-122.434303,10,1
10,Bayview,START,37.747849,-122.403999,1,2
11,Bayview,INTERIOR,37.737591,-122.383926,2,2
12,Bayview,INTERIOR,37.734402,-122.382729,3,2
13,Bayview,INTERIOR,37.733452,-122.379639,4,2
14,Bayview,INTERIOR,37.730671,-122.379288,5,2
15,Bayview,INTERIOR,37.73019,-122.38092,6,2
16,Bayview,INTERIOR,37.730808,-122.382469,7,2
17,Bayview,INTERIOR,37.730129,-122.382812,8,2
18,Bayview,INTERIOR,37.727619,-122.377663,9,2
19,Bayview,INTERIOR,37.72633,-122.37809,10,2
20,Bayview,INTERIOR,37.725441,-122.37912,11,2
21,Bayview,INTERIOR,37.725441,-122.377411,12,2
22,Bayview,INTERIOR,37.724091,-122.376549,13,2
23,Bayview,INTERIOR,37.72361,-122.378777,14,2
24,Bayview,INTERIOR,37.721642,-122.380501,15,2
25,Bayview,INTERIOR,37.72422,-122.3853,16,2
26,Bayview,INTERIOR,37.72456,-122.386589,17,2
27,Bayview,INTERIOR,37.724152,-122.386932,18,2
28,Bayview,INTERIOR,37.721642,-122.382378,19,2
29,Bayview,INTERIOR,37.71764,-122.386681,20,2
30,Bayview,INTERIOR,37.71492,-122.382729,21,2
31,Bayview,INTERIOR,37.70908,-122.382896,22,2
32,Bayview,INTERIOR,37.709831,-122.386253,23,2
33,Bayview,INTERIOR,37.708401,-122.387787,24,2
34,Bayview,INTERIOR,37.709492,-122.389771,25,2
35,Bayview,INTERIOR,37.708939,-122.39045,26,2
36,Bayview,INTERIOR,37.709621,-122.391479,27,2
37,Bayview,INTERIOR,37.70874,-122.392601,28,2
38,Bayview,INTERIOR,37.708542,-122.394737,29,2
39,Bayview,INTERIOR,37.712681,-122.396294,30,2
40,Bayview,INTERIOR,37.715389,-122.398178,31,2
41,Bayview,INTERIOR,37.729382,-122.403328,32,2
42,Bayview,INTERIOR,37.735149,-122.40667,33,2
43,Bayview,INTERIOR,37.737598,-122.407951,34,2
44,Bayview,INTERIOR,37.739429,-122.407784,35,2
45,Bayview,INTERIOR,37.742008,-122.407349,36,2
46,Bayview,INTERIOR,37.744453,-122.405289,37,2
47,Bayview,INTERIOR,37.747849,-122.403999,38,2
