"org","year","survey","bush","state","edu","age","female","black","weight"
"cbsnyt",1,"9152",1,7,2,2,1,0,1403
"cbsnyt",1,"9152",1,33,4,3,0,0,778
"cbsnyt",1,"9152",0,20,2,1,1,0,1564
"cbsnyt",1,"9152",1,31,3,2,1,0,1055
"cbsnyt",1,"9152",1,18,3,1,1,0,1213
"cbsnyt",1,"9152",1,31,4,2,0,0,910
"cbsnyt",1,"9152",1,40,1,3,0,0,735
"cbsnyt",1,"9152",1,33,4,2,1,0,410
"cbsnyt",1,"9152",0,22,4,2,1,0,410
"cbsnyt",1,"9152",1,22,4,3,0,0,778
"cbsnyt",1,"9152",1,33,4,1,1,0,2118
"cbsnyt",1,"9152",1,22,4,1,1,0,706
"cbsnyt",1,"9152",1,39,2,3,1,0,1323
"cbsnyt",1,"9152",1,33,2,3,0,0,735
"cbsnyt",1,"9152",0,31,4,2,1,0,410
"cbsnyt",1,"9152",1,33,2,3,0,0,2204
"cbsnyt",1,"9152",0,10,3,3,1,0,286
"cbsnyt",1,"9152",0,33,3,2,1,1,528
"cbsnyt",1,"9152",1,40,4,2,1,0,820
"cbsnyt",1,"9152",0,33,3,2,0,0,781
"cbsnyt",1,"9152",1,39,1,4,1,0,3508
"cbsnyt",1,"9152",1,31,4,2,0,0,455
"cbsnyt",1,"9152",1,33,1,4,0,0,1948
"cbsnyt",1,"9152",1,41,3,2,0,0,1001
"cbsnyt",1,"9152",0,33,4,2,1,1,1230
"cbsnyt",1,"9152",1,15,4,4,1,0,411
"cbsnyt",1,"9152",0,22,2,2,1,0,701
"cbsnyt",1,"9152",0,39,2,2,1,0,1403
"cbsnyt",1,"9152",0,22,3,2,0,0,781
"cbsnyt",1,"9152",1,7,4,3,1,0,701
"cbsnyt",1,"9152",0,33,4,3,0,0,778
"cbsnyt",1,"9152",1,22,4,3,0,0,778
"cbsnyt",1,"9152",0,10,1,4,1,0,1498
"cbsnyt",1,"9152",0,31,4,2,0,0,455
"cbsnyt",1,"9152",1,19,1,4,0,0,1663
"cbsnyt",1,"9152",1,22,2,3,1,0,1323
"cbsnyt",1,"9152",0,33,4,2,0,0,910
"cbsnyt",1,"9152",0,43,3,2,0,1,1527
