city,company,salary,summary,title,parsed_salary
Denver,Department Of The Interior,"$76,341 - $99,243 a year","Would you like to join the more than 10,000 scientists, technicians, and support staff of the USGS who are working in more than 400 locations throughout the...","Statistician, GS-1350-12 (DEU-PERM-DS)",87792.0
Denver,Department Of The Interior,"$71,012 - $99,243 a year",Investigate potential uses of geospatial data applications and develop procedures and techniques to improve or enhance the applications....,Interdisciplinary Cartographer/Geographer - GS-1370/0150-12...,85127.5
Denver,Mental Health Center of Denver,"$70,000 - $80,000 a year",Advise the Data Developer with regard to creation of data tables and make other data warehouse updates needed for completion of projects....,Financial Data Scientist,75000.0
Denver,Denver Public Schools,"$62,712 - $75,255 a year",Portal managers on student outcome data reports design and validation. The Senior Research Analyst 1) facilitates student outcome data presentation in cross...,SENIOR RESEARCH ANALYST,68983.5
Denver,University of Colorado,"$25,000 - $29,000 a year",Experience entering and manipulating data in a. Species of small laboratory animals which are used by scientists for research. Who we are:....,Animal Care I,27000.0
Denver,Denver Health,"$93,645 a year","Functions largely independently but reports to a more senior scientist. Two years of scientific research related experience, knowledge & competence with grant...",Assistant Research Scientist - RADARS,93645.0
Denver,Denver Health,"$66,654 a year","Assist research director, assistant research director and other project members in data analysis planning, analysis, and reporting....",Statistical Research Specialist,66654.0
Denver,Denver Health,"$66,654 a year","Assist research director, assistant research director and other project members in data analysis planning, analysis, and reporting....",Statistical Research Scientist - RADARS,66654.0
Denver,University of Colorado,"$65,000 - $90,000 a year","And effective working relationships with physicians, scientists, and. Project data and protocols for COMIRB and other regulatory agency activities....",Regulatory & Compliance Manager,77500.0
Denver,"Computer Enterprises, Inc.","$130,000 a year","We are looking for a Software Engineer/Data Scientist with Real-time Big Data Processing, collection. Processing and collection is (70%) of the job and Data...",Software Engineer/Data Scientist,130000.0
Denver,Potatoes USA,"$85,000 a year",Extensive knowledge and experience analyzing sales and marketing data and presenting in an effective manner....,Global Marketing Manager - Ingredient and School Foodservice,85000.0
Denver,Department Of The Interior,"$43,037 - $68,430 a year",Preparing graphs and data profiles; Conduct literature and data searches to locate public domain sources of technical data on mines and mineral deposits in the...,Geologist GS-1350-07/09 (DEU - TERM - JG),55733.5
Denver,University of Colorado,"$42,000 - $45,000 a year","Data as appropriate; Primarily to clinical care and clinical research, physician scientists who. And records all patient data essential to the study onto...",Professional Research Assistant - Data Manager,43500.0
Denver,University of Colorado,"$42,000 - $46,500 a year",Ensures accurate data entry of tissue bank patient data and other clinical trial data as assigned. 1 year experience in a clinical setting (oncology data...,Professional Research Assistant - Tissue Bank Coordinator/Da...,44250.0
Denver,DigitalGlobe,"$105,000 a year",DigitalGlobe's Geospatial Big Data (GBD) initiative develops cutting edge cloud-based systems to manage its massive archive of imagery and extract information...,Platform Developer/Geospatial Big Data (Python),105000.0
Denver,University of Colorado,"$45,000 - $50,000 a year","Investigator, Study Sponsor, FDA, Data and Safety Monitoring Committee (DSMC),. And records all patient data essential to the study onto required Case Report....",Professional Research Assistant - Clinical Research Coordina...,47500.0
Denver,Fahrenheit IT,"$170,000 a year","Doing all this with an exceptional group of software engineers, data scientists, dev-ops engineers and managers....",DevOps Engineer,170000.0
Austin,TechTank Staffing & Consulting Solutions,"$140,000 a year",What are we looking for in this Data Scientist Programmer/Specialist:. Data Scientists - Not necessarily picking apart data models but being able to find a good...,Data Scientist Programmer/Specialist,140000.0
Austin,All-In Analytics,"$140,000 - $160,000 a year","Senior Deep Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products....",Senior Deep Learning Data Scientist,150000.0
Austin,Emoters Robotics,"$70,000 - $100,000 a year","At Emoters, we’re developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a...",85000.0
Austin,Myriad Development,"$35,000 a year","Myriad Development is an Austin, TX based leader in cloud based information and technology solutions to the Financial Services markets. Myriad Development has",Research Analyst/Customer Serv,35000.0
Austin,Roland & Associates,"$160,000 a year",Data Scientist.Job Type :. They are currently seeking a Data Scientist Professional for a role who will be responsible to Model the complex interactions between...,Data Scientist,160000.0
Austin,JE Compliance,"$37,000 - $45,000 a year","The ability to interact with many different types of individuals, including executives, scientists, engineers, and other business professionals....",International Environmental Specialist,41000.0
Austin,Providence Partners,"$65,000 a year","Company Located in South Austin, we are the leading information security research and advisory company globally. Benefits Phenomenal health benefits 3","Research Analyst (excel, analysis, client-facing)",65000.0
Seattle,Pullskill Technologies,"$120,000 a year",Lead Data Scientist Recruiter*. Data Scientist – SWE Team. Data Scientist (Software Engineering) – Advance Analytics*. Big Data & ML....,Data Scientist (Software Engineering),120000.0
Seattle,Harvey Nash USA,"$135,000 a year","They are looking for a Type B data scientist:. Data Science Engineer. Work with clean data. There's an aphorism that 80% of data science work is joining,...",Data Science Engineer,135000.0
Seattle,Seattle Pacific University,"$80,000 - $85,000 a year","Manages data warehousing, data analytic solutions; This includes administration of business intelligence platforms, assisting with data governance, data...",BI/Data Architect,82500.0
Seattle,"Rakuten, Inc.","$140,000 a year","Additionally, this position provides an opportunity to apply Natural Language Processing (NLP) and Machine Learning (ML) algorithms to large-scale ecommerce...",Software Development Engineer (Machine Learning),140000.0
Seattle,All-In Analytics,"$150,000 - $230,000 a year","Digital Data Scientist. Big Data Mining and Analysis. Predictive Analytics, Machine Learning, Relevance Modeling, Click Through Rate Predictive Models,...",Digital Data Scientist,190000.0
Seattle,All-In Analytics,"$110,000 - $130,000 a year","Data Scientist, Compensation Analytics. Must be highly proficient in Microsoft Excel, PowerPoint and Salesforce.com and technically savvy for other data systems...","Sr. Data Scientist, Compensation Analytics",120000.0
Seattle,All-In Analytics,"$100,000 - $150,000 a year","Business Intelligence Scientist. SQL, Digital Analytics, eCommerce, Big Data, A/B Testing, data mining, data analysis, reporting, dashboarding, product...",Business Intelligence Scientist,125000.0
Seattle,University of Washington School of Medicine,"$40,000 a year",Postdoctoral Fellow/Research Scientist II. Assisting in the training of junior scientists. Presentations of data in lab meetings and publications....,Postdoc / Research Scientist,40000.0
Seattle,All-In Analytics,"$150,000 - $230,000 a year",Senior Business Intelligence Data Scientist. Our client is looking for an Senior Business Intelligence Data Scientist to join their insights team....,Senior Business Intelligence Data Scientist,190000.0
Seattle,All-In Analytics,"$100,000 - $200,000 a year","Big Data Scientist. Looking for an outstanding Big Data Scientist to be a part of our HR Analytics Team. Organized, detail oriented, multi-tasking, deep data...",Data Scientist,150000.0
Seattle,All-In Analytics,"$150,000 - $230,000 a year",Searching for a top notch business scientist to draw insights from big data and automate processes to transfer this info in real time across the organization....,Senior Business Intelligence Scientist,190000.0
Seattle,All-In Analytics,"$100,000 - $170,000 a year",Business Intelligence Data Scientist. Our client is looking for an Senior Business Intelligence Data Scientist to join their insights team....,Business Intelligence Data Scientist,135000.0
